period,loan_months,defaults,rate_bp
2023-08,12267291,3952,3.2215751627641342
2023-09,12290247,4200,3.4173438499649356
2023-10,12310614,4107,3.336145540750445
2023-11,12331364,4912,3.983338745008257
2023-12,12346458,5172,4.189055678964769
2024-01,12354700,5160,4.176548196233012
2024-02,12361567,4779,3.8660147212727964
2024-03,12382047,4495,3.6302559665619105
2024-04,12405289,4323,3.484803941286656
2024-05,12424794,3804,3.061620176559869
2024-06,12436506,4477,3.5998856913670125
2024-07,12452062,4578,3.676499522729649
2024-08,12470014,4782,3.8347992231604553
2024-09,12497046,4783,3.827304468592018
2024-10,12525984,4919,3.9270367900837173
2024-11,12548891,5122,4.081635580387143
2024-12,12563560,6185,4.922967693870209
2025-01,12578745,5925,4.7103268251323955
2025-02,12582542,5339,4.243180749962924
2025-03,12588375,4788,3.8035091900265128
2025-04,12598665,4640,3.6829298977312277
2025-05,12608112,4405,3.4937824156384396
2025-06,12614020,4754,3.7688223104133334
2025-07,12623393,4696,3.7200774783768518
2025-08,12628149,4901,3.881012173676443
2025-09,12622938,4978,3.94361439468371
2025-10,12635242,4353,3.445125942186149
2025-11,12633126,5559,4.400336068839969
2025-12,12654235,5371,4.244428841411591
2026-01,12657931,5830,4.605808010803662
2026-02,12659944,5672,4.480272582564346
2026-03,12661811,5169,4.082354412018944
